text,aspek,filtered,cleaned,tweet_tokens,normalisasi
"Daihatsu Terus Pantau Pelestarian Penyu di Konservasi Kali Ratu ... 2 Jan 2023 ... Untuk mewujudkan salah satu program CSR-nya, PT Astra Daihatsu Motor (ADM) kembali melaksanakan konservasi penyu yang berada di Kebumen, Jawa Tengah.",Ramah Lingkungan,daihatsu terus pantau pelestarian penyu di konservasi kali ratu jan untuk mewujudkan salah satu program csr nya pt astra daihatsu motor adm kembali melaksanakan konservasi penyu yang berada di kebumen jawa tengah,daihatsu terus pantau lestari penyu konservasi kali ratu 2 jan 2023 untuk wujud salah satu program csr-nya pt astra daihatsu motor adm kembali laksana konservasi penyu ada kebumen jawa tengah,"['Daihatsu', 'Terus', 'Pantau', 'Pelestarian', 'Penyu', 'di', 'Konservasi', 'Kali', 'Ratu', '...', '2', 'Jan', '2023', '...', 'Untuk', 'mewujudkan', 'salah', 'satu', 'program', 'CSR-nya', ',', 'PT', 'Astra', 'Daihatsu', 'Motor', '(', 'ADM', ')', 'kembali', 'melaksanakan', 'konservasi', 'penyu', 'yang', 'berada', 'di', 'Kebumen', ',', 'Jawa', 'Tengah', '.']","['Daihatsu', 'Terus', 'Pantau', 'Pelestarian', 'Penyu', 'di', 'Konservasi', 'Kali', 'Ratu', '...', '2', 'Jan', '2023', '...', 'Untuk', 'mewujudkan', 'salah', 'satu', 'program', 'CSR-nya', ',', 'PT', 'Astra', 'Daihatsu', 'Motor', '(', 'ADM', ')', 'kembali', 'melaksanakan', 'konservasi', 'penyu', 'yang', 'berada', 'di', 'Kebumen', ',', 'Jawa', 'Tengah', '.']"
"Honda N-Van EV Meluncur 2024, Mobil Listrik Murah Saingan Wuling! 2 Jan 2023 ... Honda N-Van EV Meluncur 2024, Mobil Listrik Murah Saingan Wuling! ... Honda punya komitmen kuat untuk memasarkan kendaraan elektrifikasi secara global. SalahÂ ...",Biaya,honda n van ev meluncur mobil listrik murah saingan wuling jan honda n van ev meluncur mobil listrik murah saingan wuling honda punya komitmen kuat untuk memasarkan kendaraan elektrifikasi secara global salah,honda n-van ev luncur 2024 mobil listrik murah saing wuling 2 jan 2023 honda n-van ev luncur 2024 mobil listrik murah saing wuling honda punya komitmen kuat untuk pasar kendara elektrifikasi cara global salah,"['Honda', 'N-Van', 'EV', 'Meluncur', '2024', ',', 'Mobil', 'Listrik', 'Murah', 'Saingan', 'Wuling', '!', '2', 'Jan', '2023', '...', 'Honda', 'N-Van', 'EV', 'Meluncur', '2024', ',', 'Mobil', 'Listrik', 'Murah', 'Saingan', 'Wuling', '!', '...', 'Honda', 'punya', 'komitmen', 'kuat', 'untuk', 'memasarkan', 'kendaraan', 'elektrifikasi', 'secara', 'global', '.', 'SalahÂ', '...']","['Honda', 'N-Van', 'EV', 'Meluncur', '2024', ',', 'Mobil', 'Listrik', 'Murah', 'Saingan', 'Wuling', '!', '2', 'Jan', '2023', '...', 'Honda', 'N-Van', 'EV', 'Meluncur', '2024', ',', 'Mobil', 'Listrik', 'Murah', 'Saingan', 'Wuling', '!', '...', 'Honda', 'punya', 'komitmen', 'kuat', 'untuk', 'memasarkan', 'kendaraan', 'elektrifikasi', 'secara', 'global', '.', 'SalahÂ', '...']"
"Wuling Air EV Bekas KT G20 Dijual Murah, Laku Keras! 2 Jan 2023 ... Wuling Air ev bekas KTT G20 banyak diincar. Tidak butuh waktu lama, mobil listrik itu langsung ludes saat dijual dengan harga spesial.",Biaya,wuling air ev bekas kt g dijual murah laku keras jan wuling air ev bekas ktt g banyak diincar tidak butuh waktu lama mobil listrik itu langsung ludes saat dijual dengan harga spesial,wuling air ev bekas kt g20 jual murah laku keras 2 jan 2023 wuling air ev bekas ktt g20 banyak incar tidak butuh lama mobil listrik itu langsung ludes saat jual dengan harga spesial,"['Wuling', 'Air', 'EV', 'Bekas', 'KT', 'G20', 'Dijual', 'Murah', ',', 'Laku', 'Keras', '!', '2', 'Jan', '2023', '...', 'Wuling', 'Air', 'ev', 'bekas', 'KTT', 'G20', 'banyak', 'diincar', '.', 'Tidak', 'butuh', 'waktu', 'lama', ',', 'mobil', 'listrik', 'itu', 'langsung', 'ludes', 'saat', 'dijual', 'dengan', 'harga', 'spesial', '.']","['Wuling', 'Air', 'EV', 'Bekas', 'KT', 'G20', 'Dijual', 'Murah', ',', 'Laku', 'Keras', '!', '2', 'Jan', '2023', '...', 'Wuling', 'Air', 'ev', 'bekas', 'KTT', 'G20', 'banyak', 'diincar', '.', 'Tidak', 'butuh', 'waktu', 'lama', ',', 'mobil', 'listrik', 'itu', 'langsung', 'ludes', 'saat', 'dijual', 'dengan', 'harga', 'spesial', '.']"
Daihatsu Bakal Luncurkan Sedan Kembaran Vios di Indonesia? 2 Jan 2023 ... Toyota Vios dengan platform Daihatsu ini sudah dipasarkan di Indonesia. Toyota Vios baru itu menggunakan mesin 2NR-VE 1.500 cc 4 silinder dengan muntahan tenagaÂ ...,0,daihatsu bakal luncurkan sedan kembaran vios di indonesia jan toyota vios dengan platform daihatsu ini sudah dipasarkan di indonesia toyota vios baru itu menggunakan mesin nr ve cc silinder dengan muntahan tenaga,daihatsu bakal luncur sedan kembar vios indonesia 2 jan 2023 toyota vios dengan platform daihatsu sudah pasar indonesia toyota vios baru itu guna mesin 2nr-ve 1 500 cc 4 silinder dengan muntah tenaga,"['Daihatsu', 'Bakal', 'Luncurkan', 'Sedan', 'Kembaran', 'Vios', 'di', 'Indonesia', '?', '2', 'Jan', '2023', '...', 'Toyota', 'Vios', 'dengan', 'platform', 'Daihatsu', 'ini', 'sudah', 'dipasarkan', 'di', 'Indonesia', '.', 'Toyota', 'Vios', 'baru', 'itu', 'menggunakan', 'mesin', '2NR-VE', '1.500', 'cc', '4', 'silinder', 'dengan', 'muntahan', 'tenagaÂ', '...']","['Daihatsu', 'Bakal', 'Luncurkan', 'Sedan', 'Kembaran', 'Vios', 'di', 'Indonesia', '?', '2', 'Jan', '2023', '...', 'Toyota', 'Vios', 'dengan', 'platform', 'Daihatsu', 'ini', 'sudah', 'dipasarkan', 'di', 'Indonesia', '.', 'Toyota', 'Vios', 'baru', 'itu', 'menggunakan', 'mesin', '2NR-VE', '1.500', 'cc', '4', 'silinder', 'dengan', 'muntahan', 'tenagaÂ', '...']"
"Tutorial Parkir Paralel Wuling Air ev, Nggak Sulit Kok! 1 Jan 2023 ... Cara parkir paralel Wuling Air ev mungkin menjadi pertanyaan di benak sebagian orang. Apa bisa mobil listrik mungil itu diparkir secara paralel?",Fitur,tutorial parkir paralel wuling air ev nggak sulit kok jan cara parkir paralel wuling air ev mungkin menjadi pertanyaan di benak sebagian orang apa bisa mobil listrik mungil itu diparkir secara paralel,tutorial parkir paralel wuling air ev nggak sulit kok 1 jan 2023 cara parkir paralel wuling air ev mungkin jadi tanya benak bagi orang apa bisa mobil listrik mungil itu parkir cara paralel,"['Tutorial', 'Parkir', 'Paralel', 'Wuling', 'Air', 'ev', ',', 'Nggak', 'Sulit', 'Kok', '!', '1', 'Jan', '2023', '...', 'Cara', 'parkir', 'paralel', 'Wuling', 'Air', 'ev', 'mungkin', 'menjadi', 'pertanyaan', 'di', 'benak', 'sebagian', 'orang', '.', 'Apa', 'bisa', 'mobil', 'listrik', 'mungil', 'itu', 'diparkir', 'secara', 'paralel', '?']","['Tutorial', 'Parkir', 'Paralel', 'Wuling', 'Air', 'ev', ',', 'Nggak', 'Sulit', 'Kok', '!', '1', 'Jan', '2023', '...', 'Cara', 'parkir', 'paralel', 'Wuling', 'Air', 'ev', 'mungkin', 'menjadi', 'pertanyaan', 'di', 'benak', 'sebagian', 'orang', '.', 'Apa', 'bisa', 'mobil', 'listrik', 'mungil', 'itu', 'diparkir', 'secara', 'paralel', '?']"
"Daihatsu Daftarkan Desain Mobil Mirip Vios, Siap Bermain di ... 2 Jan 2023 ... Jika mobil sedan terbaru Daihatsu merupakan kembaran All New Vios maka spesifikasinya tidak akan terlalu berbeda jauh. All New Vios sendiri mengadopsi mesinÂ ...",Fitur,daihatsu daftarkan desain mobil mirip vios siap bermain di jan jika mobil sedan terbaru daihatsu merupakan kembaran all new vios maka spesifikasinya tidak akan terlalu berbeda jauh all new vios sendiri mengadopsi mesin,daihatsu daftar desain mobil mirip vios siap main 2 jan 2023 jika mobil sedan baru daihatsu rupa kembar all new vios maka spesifikasi tidak akan terlalu beda jauh all new vios sendiri adopsi mesin,"['Daihatsu', 'Daftarkan', 'Desain', 'Mobil', 'Mirip', 'Vios', ',', 'Siap', 'Bermain', 'di', '...', '2', 'Jan', '2023', '...', 'Jika', 'mobil', 'sedan', 'terbaru', 'Daihatsu', 'merupakan', 'kembaran', 'All', 'New', 'Vios', 'maka', 'spesifikasinya', 'tidak', 'akan', 'terlalu', 'berbeda', 'jauh', '.', 'All', 'New', 'Vios', 'sendiri', 'mengadopsi', 'mesinÂ', '...']","['Daihatsu', 'Daftarkan', 'Desain', 'Mobil', 'Mirip', 'Vios', ',', 'Siap', 'Bermain', 'di', '...', '2', 'Jan', '2023', '...', 'Jika', 'mobil', 'sedan', 'terbaru', 'Daihatsu', 'merupakan', 'kembaran', 'All', 'New', 'Vios', 'maka', 'spesifikasinya', 'tidak', 'akan', 'terlalu', 'berbeda', 'jauh', '.', 'All', 'New', 'Vios', 'sendiri', 'mengadopsi', 'mesinÂ', '...']"
"Daihatsu Motor Daftarkan Rancangan Mirip Vios, ADM : Belum Ada ... 2 Jan 2023 ... Daihatsu mengajukan rancangan desain mobil sedan pada dokumen Berita Resmi Desain Industri DJKI Kemenkumham edisi Desember 2022.",Fitur,daihatsu motor daftarkan rancangan mirip vios adm belum ada jan daihatsu mengajukan rancangan desain mobil sedan pada dokumen berita resmi desain industri djki kemenkumham edisi desember,daihatsu motor daftar rancang mirip vios adm belum ada 2 jan 2023 daihatsu aju rancang desain mobil sedan dokumen berita resmi desain industri djki kemenkumham edisi desember 2022,"['Daihatsu', 'Motor', 'Daftarkan', 'Rancangan', 'Mirip', 'Vios', ',', 'ADM', ':', 'Belum', 'Ada', '...', '2', 'Jan', '2023', '...', 'Daihatsu', 'mengajukan', 'rancangan', 'desain', 'mobil', 'sedan', 'pada', 'dokumen', 'Berita', 'Resmi', 'Desain', 'Industri', 'DJKI', 'Kemenkumham', 'edisi', 'Desember', '2022', '.']","['Daihatsu', 'Motor', 'Daftarkan', 'Rancangan', 'Mirip', 'Vios', ',', 'ADM', ':', 'Belum', 'Ada', '...', '2', 'Jan', '2023', '...', 'Daihatsu', 'mengajukan', 'rancangan', 'desain', 'mobil', 'sedan', 'pada', 'dokumen', 'Berita', 'Resmi', 'Desain', 'Industri', 'DJKI', 'Kemenkumham', 'edisi', 'Desember', '2022', '.']"
"Mitsubishi Galant Hiu Jadi VR4, Tampil Ganteng dan Agresif - Foto 2 Jan 2023 ... Mitsubishi Galant(instagram.com/devanugrahaa__). Baca berita tanpa iklan. Gabung Kompas.com+ Â· Kembali ke artikel. 1 dari 3.",Fitur,mitsubishi galant hiu jadi vr tampil ganteng dan agresif foto jan mitsubishi galant instagram com devanugrahaa baca berita tanpa iklan gabung kompas com kembali ke artikel dari,mitsubishi galant hiu jadi vr4 tampil ganteng agresif - foto 2 jan 2023 mitsubishi galant instagram com devanugrahaa baca berita tanpa iklan gabung kompas com kembali artikel 1 3,"['Mitsubishi', 'Galant', 'Hiu', 'Jadi', 'VR4', ',', 'Tampil', 'Ganteng', 'dan', 'Agresif', '-', 'Foto', '2', 'Jan', '2023', '...', 'Mitsubishi', 'Galant', '(', 'instagram.com/devanugrahaa__', ')', '.', 'Baca', 'berita', 'tanpa', 'iklan', '.', 'Gabung', 'Kompas.com+', 'Â·', 'Kembali', 'ke', 'artikel', '.', '1', 'dari', '3', '.']","['Mitsubishi', 'Galant', 'Hiu', 'Jadi', 'VR4', ',', 'Tampil', 'Ganteng', 'dan', 'Agresif', '-', 'Foto', '2', 'Jan', '2023', '...', 'Mitsubishi', 'Galant', '(', 'instagram.com/devanugrahaa__', ')', '.', 'Baca', 'berita', 'tanpa', 'iklan', '.', 'Gabung', 'Kompas.com+', 'Â·', 'Kembali', 'ke', 'artikel', '.', '1', 'dari', '3', '.']"
"Uji Performa Serta Ketangguhan BMW X7 di Dalam dan Luar Kota 1 Jan 2023 ... Bila merasa jalanan sepi dan tidak ingin capek, pengemudi bisa mengaktifkan fitur Active Cruise Control with Stop and Go Function di X7. Fitur ini, merupakanÂ ...",Fitur,uji performa serta ketangguhan bmw x di dalam dan luar kota jan bila merasa jalanan sepi dan tidak ingin capek pengemudi bisa mengaktifkan fitur active cruise control with stop and go function di x fitur ini merupakan,uji performa serta tangguh bmw x7 dalam luar kota 1 jan 2023 bila rasa jalan sepi tidak ingin capek kemudi bisa aktif fitur active cruise control with stop and go function x7 fitur ini rupa,"['Uji', 'Performa', 'Serta', 'Ketangguhan', 'BMW', 'X7', 'di', 'Dalam', 'dan', 'Luar', 'Kota', '1', 'Jan', '2023', '...', 'Bila', 'merasa', 'jalanan', 'sepi', 'dan', 'tidak', 'ingin', 'capek', ',', 'pengemudi', 'bisa', 'mengaktifkan', 'fitur', 'Active', 'Cruise', 'Control', 'with', 'Stop', 'and', 'Go', 'Function', 'di', 'X7', '.', 'Fitur', 'ini', ',', 'merupakanÂ', '...']","['Uji', 'Performa', 'Serta', 'Ketangguhan', 'BMW', 'X7', 'di', 'Dalam', 'dan', 'Luar', 'Kota', '1', 'Jan', '2023', '...', 'Bila', 'merasa', 'jalanan', 'sepi', 'dan', 'tidak', 'ingin', 'kesal', ',', 'pengemudi', 'bisa', 'mengaktifkan', 'fitur', 'Active', 'Cruise', 'Control', 'dengan', 'Stop', 'dan', 'Go', 'Function', 'di', 'X7', '.', 'Fitur', 'ini', ',', 'merupakanÂ', '...']"
"Siksa BMW X7 di Medan Offroad, The President Diajak Main Air 1 Jan 2023 ... Salah satu fitur unggulan milik X7 yang berguna di medan offroad adalah suspensi udara adaptif yang bisa berartikulasi sampai 80 mm. Membuat SUV ini sangatÂ ...",Fitur,siksa bmw x di medan offroad the president diajak main air jan salah satu fitur unggulan milik x yang berguna di medan offroad adalah suspensi udara adaptif yang bisa berartikulasi sampai mm membuat suv ini sangat,siksa bmw x7 medan offroad the president ajak main air 1 jan 2023 salah satu fitur unggul milik x7 guna medan offroad adalah suspensi udara adaptif bisa artikulasi sampai 80 mm buat suv sangat,"['Siksa', 'BMW', 'X7', 'di', 'Medan', 'Offroad', ',', 'The', 'President', 'Diajak', 'Main', 'Air', '1', 'Jan', '2023', '...', 'Salah', 'satu', 'fitur', 'unggulan', 'milik', 'X7', 'yang', 'berguna', 'di', 'medan', 'offroad', 'adalah', 'suspensi', 'udara', 'adaptif', 'yang', 'bisa', 'berartikulasi', 'sampai', '80', 'mm', '.', 'Membuat', 'SUV', 'ini', 'sangatÂ', '...']","['Siksa', 'BMW', 'X7', 'di', 'Medan', 'Offroad', ',', 'The', 'President', 'Diajak', 'Main', 'Air', '1', 'Jan', '2023', '...', 'Salah', 'satu', 'fitur', 'unggulan', 'milik', 'X7', 'yang', 'berguna', 'di', 'medan', 'offroad', 'adalah', 'suspensi', 'udara', 'adaptif', 'yang', 'bisa', 'berartikulasi', 'sampai', '80', 'mm', '.', 'Membuat', 'SUV', 'ini', 'sangatÂ', '...']"
